ISO_lokal	MJD	UTC	CENT	CENT_status	DOOR	DOOR_status	BA	BA_status
2026-03-20T07:46:20	61119.282187	2026-03-20T06:46:20Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:25	61119.282245	2026-03-20T06:46:25Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:30	61119.282303	2026-03-20T06:46:30Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:35	61119.282361	2026-03-20T06:46:35Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:40	61119.282418	2026-03-20T06:46:40Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:45	61119.282476	2026-03-20T06:46:45Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:50	61119.282534	2026-03-20T06:46:50Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:55	61119.282592	2026-03-20T06:46:55Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:00	61119.282650	2026-03-20T06:47:00Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:05	61119.282708	2026-03-20T06:47:05Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:10	61119.282766	2026-03-20T06:47:10Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:15	61119.282824	2026-03-20T06:47:15Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:20	61119.282881	2026-03-20T06:47:20Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:25	61119.282939	2026-03-20T06:47:25Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:30	61119.282997	2026-03-20T06:47:30Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:35	61119.283055	2026-03-20T06:47:35Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:40	61119.283113	2026-03-20T06:47:40Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:45	61119.283171	2026-03-20T06:47:45Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:47:50	61119.283229	2026-03-20T06:47:50Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:48:15	61119.283518	2026-03-20T06:48:15Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:48:20	61119.283576	2026-03-20T06:48:20Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:48:25	61119.283634	2026-03-20T06:48:25Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:48:30	61119.283692	2026-03-20T06:48:30Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:48:35	61119.283750	2026-03-20T06:48:35Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:48:40	61119.283808	2026-03-20T06:48:40Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:48:45	61119.283866	2026-03-20T06:48:45Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:48:50	61119.283923	2026-03-20T06:48:50Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:48:56	61119.283981	2026-03-20T06:48:56Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:00	61119.284039	2026-03-20T06:49:00Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:05	61119.284097	2026-03-20T06:49:05Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:10	61119.284155	2026-03-20T06:49:10Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:15	61119.284213	2026-03-20T06:49:15Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:20	61119.284271	2026-03-20T06:49:20Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:25	61119.284329	2026-03-20T06:49:25Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:30	61119.284386	2026-03-20T06:49:30Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:35	61119.284444	2026-03-20T06:49:35Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:40	61119.284502	2026-03-20T06:49:40Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:45	61119.284560	2026-03-20T06:49:45Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:50	61119.284618	2026-03-20T06:49:50Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:49:56	61119.284676	2026-03-20T06:49:56Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:00	61119.284733	2026-03-20T06:50:00Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:05	61119.284791	2026-03-20T06:50:05Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:10	61119.284849	2026-03-20T06:50:10Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:15	61119.284907	2026-03-20T06:50:15Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:20	61119.284965	2026-03-20T06:50:20Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:25	61119.285023	2026-03-20T06:50:25Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:31	61119.285081	2026-03-20T06:50:31Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:36	61119.285139	2026-03-20T06:50:36Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:41	61119.285197	2026-03-20T06:50:41Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:46	61119.285255	2026-03-20T06:50:46Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:50:51	61119.285313	2026-03-20T06:50:51Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
